model,device,dtype,batch_size,length,dim,level,benchmark_level,mae,mape,rmse,time
monomial_interp,cpu,float64,4,10,2,17,21,2.3245294578089215e-15,2.6102784483457427e-15,1.1263703665868435e-14,0.13130887527950108
sigkerax,cpu,float64,4,10,2,1,21,0.010222840150308964,0.011032381460549266,0.06515997287189466,0.027051953715272248
sigkerax,cpu,float64,4,10,2,2,21,0.0010275112277030388,0.0010643583817885973,0.006555187610739467,0.030981311690993607
sigkerax,cpu,float64,4,10,2,3,21,0.0002713989994452548,0.0002784848217670703,0.001665611960164017,0.030081004020757973
sigkerax,cpu,float64,4,10,2,4,21,0.00011449472678781714,0.00012230242341456515,0.0006344597501910484,0.032112681423313916
sigkerax,cpu,float64,4,10,2,5,21,6.0232514938293735e-05,6.744996125868906e-05,0.00031774997526957797,0.030530843185260892
sigkerax,cpu,float64,4,10,2,6,21,3.579329592711539e-05,4.180608591854853e-05,0.00019578362398577358,0.03363597427960485
sigkerax,cpu,float64,4,10,2,7,21,2.4123681799326224e-05,2.8883044796063954e-05,0.00013895796997805587,0.044661849969998
sigkerax,cpu,float64,4,10,2,8,21,1.882618905145461e-05,2.2382332580670672e-05,0.0001073801614828232,0.03832582093309611
sigkerax,cpu,float64,4,10,2,9,21,1.5180558939550948e-05,1.794836680066741e-05,8.717152945999719e-05,0.0395431345095858
sigkerax,cpu,float64,4,10,2,10,21,1.2515034221900756e-05,1.4733151410029543e-05,7.291855960556552e-05,0.04232516011688858
sigkerax,cpu,float64,4,10,2,11,21,1.0490105263924465e-05,1.2306973965423664e-05,6.221792503585372e-05,0.04698013758752495
sigkerax,cpu,float64,4,10,2,12,21,8.917114714887542e-06,1.0432284421771941e-05,5.3852965855344995e-05,0.04815712780691683
sigkerax,cpu,float64,4,10,2,13,21,7.671620956911651e-06,8.954301140670408e-06,4.713205986777027e-05,0.04882384033408016
sigkerax,cpu,float64,4,10,2,14,21,6.669022271213465e-06,7.768799883961519e-06,4.16240873387514e-05,0.055270588025450706
sigkerax,cpu,float64,4,10,2,15,21,5.850255611360156e-06,6.803576970530091e-06,3.70411363454636e-05,0.055780902854166925
sigkerax,cpu,float64,4,10,2,16,21,5.173114342622853e-06,6.007360710583771e-06,3.318101537175731e-05,0.05863542715087533
sigkerax,cpu,float64,4,10,2,17,21,4.606807999019136e-06,5.34294525813969e-06,2.989637796147101e-05,0.06427207379601896
monomial_approx,cpu,float64,4,10,3,2,16,0.00937010429189273,0.006851325963463292,0.06016572707841568,0.017338947276584804
monomial_approx,cpu,float64,4,10,3,3,16,0.0008056126360913296,0.0006150913703767006,0.00573920570532234,0.020146038033999503
monomial_approx,cpu,float64,4,10,3,4,16,1.8934927638117327e-05,1.3581639828229455e-05,0.00013797400779016605,0.022104115574620664
monomial_approx,cpu,float64,4,10,3,5,16,5.354889386632866e-07,3.9576292897105686e-07,4.3065561532877355e-06,0.02173172263428569
monomial_approx,cpu,float64,4,10,3,6,16,8.372694842995188e-09,5.995785753776837e-09,6.681368327401154e-08,0.02328330127056688
monomial_approx,cpu,float64,4,10,3,7,16,1.24177633453737e-10,9.032226941756681e-11,1.0803333809144816e-09,0.023578466149047017
monomial_approx,cpu,float64,4,10,3,8,16,1.3011605681789717e-12,9.321071183665506e-13,1.1123322155010061e-11,0.023208567523397505
monomial_approx,cpu,float64,4,10,3,9,16,1.2184697695261093e-14,8.880777028432588e-15,1.1001004940383856e-13,0.024916878202930093
monomial_approx,cpu,float64,4,10,3,10,16,1.0200174038743626e-15,8.266631942850606e-16,5.585426000867096e-15,0.026534161530435085
monomial_approx,cpu,float64,4,10,3,11,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.0284073397051543
monomial_approx,cpu,float64,4,10,3,12,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.026787279755808413
monomial_approx,cpu,float64,4,10,3,13,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.028279676102101803
monomial_approx,cpu,float64,4,10,3,14,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.026293771108612418
monomial_approx,cpu,float64,4,10,3,15,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.02934500970877707
monomial_approx,cpu,float64,4,10,3,16,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.04008895088918507
monomial_approx,cpu,float64,4,10,3,17,16,1.0477729794899915e-15,8.473460920516005e-16,5.759265219992454e-15,0.02807234018109739
monomial_interp,cpu,float64,4,10,3,2,16,2.060213996546434e-05,1.5820034800487407e-05,0.00012876993196500253,0.034083057078532875
monomial_interp,cpu,float64,4,10,3,3,16,9.152434936043896e-07,6.694465610513546e-07,5.810755844974042e-06,0.035784754902124405
monomial_interp,cpu,float64,4,10,3,4,16,7.716066952045963e-10,5.598837434434505e-10,5.587583529989202e-09,0.04227661923505366
monomial_interp,cpu,float64,4,10,3,5,16,7.1604250306833706e-12,5.1051222415445146e-12,5.0641013083911104e-11,0.045068543520756066
monomial_interp,cpu,float64,4,10,3,6,16,4.822531263215524e-15,4.1347753932897225e-15,2.9401632040656246e-14,0.05065581121016294
