model,device,dtype,batch_size,length,dim,level,benchmark_level,mae,mape,rmse,time
monomial_interp,cpu,float64,4,10,3,9,16,1.3322676295501878e-15,1.4017747187887915e-15,6.705600017716362e-15,0.15785983740352094
monomial_interp,cpu,float64,4,10,3,10,16,4.2674197509029455e-15,4.994808036638831e-15,2.3541702652371875e-14,0.1853224050719291
monomial_interp,cpu,float64,4,10,3,11,16,3.712308238590367e-15,4.2782043998635854e-15,1.9289466096286646e-14,0.058414916740730405
monomial_interp,cpu,float64,4,10,3,12,16,2.671474153004283e-15,3.061566970103535e-15,1.4150444673509456e-14,0.2648729875218123
monomial_interp,cpu,float64,4,10,3,13,16,2.706168622523819e-15,3.087245584650304e-15,1.3983522334578592e-14,0.3138139289803803
monomial_interp,cpu,float64,4,10,3,14,16,2.6922908347160046e-15,3.0490097498080357e-15,1.3438744118742472e-14,0.34629686386324465
monomial_interp,cpu,float64,4,10,3,15,16,2.0747292772682613e-15,2.302490487000029e-15,1.0009878166826636e-14,0.10718396538868546
monomial_interp,cpu,float64,4,10,3,16,16,1.5751289161869408e-15,1.739855404086479e-15,8.139532547199557e-15,0.09571217047050595
monomial_interp,cpu,float64,4,10,3,17,16,1.8318679906315083e-15,2.0539129448667797e-15,8.992121150493565e-15,0.10585644282400608
monomial_approx2,cpu,float64,4,10,3,2,16,4.5422036977563196e-05,5.348931095303138e-05,0.0003921038089788725,0.00042576156556606293
monomial_approx2,cpu,float64,4,10,3,3,16,5.128869543097325e-07,6.046399487203217e-07,5.642438381251897e-06,0.0014618330169469118
monomial_approx2,cpu,float64,4,10,3,4,16,3.978402739190923e-09,4.725436395892193e-09,5.346953195353347e-08,0.001699212472885847
monomial_approx2,cpu,float64,4,10,3,5,16,2.4673388332452362e-11,2.936508740153487e-11,3.6077764816969347e-10,0.0027575017884373665
monomial_approx2,cpu,float64,4,10,3,6,16,1.1830120216771434e-13,1.410049265331772e-13,1.8078591822905583e-12,0.005334392888471484
monomial_approx2,cpu,float64,4,10,3,7,16,6.175615574477433e-16,7.235855084433589e-16,6.785088753334955e-15,0.005943395430222154
monomial_approx2,cpu,float64,4,10,3,8,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.007254877360537648
monomial_approx2,cpu,float64,4,10,3,9,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.01005057618021965
monomial_approx2,cpu,float64,4,10,3,10,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.012213439214974642
monomial_approx2,cpu,float64,4,10,3,11,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.012769160326570272
monomial_approx2,cpu,float64,4,10,3,12,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.017703000456094742
monomial_approx2,cpu,float64,4,10,3,13,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.017002589534968138
monomial_approx2,cpu,float64,4,10,3,14,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.021510585909709334
monomial_approx2,cpu,float64,4,10,3,15,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.022566461004316807
monomial_approx2,cpu,float64,4,10,3,16,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.025514627108350396
monomial_approx2,cpu,float64,4,10,3,17,16,2.2898349882893854e-16,2.6135797762844977e-16,1.4261072965499199e-15,0.020789735019207
monomial_interp2,cpu,float64,4,10,3,2,16,1.0763079108522255e-09,1.3215338372463263e-09,8.42916359547523e-09,0.012138333637267351
monomial_interp2,cpu,float64,4,10,3,3,16,6.585130357672497e-11,8.067637196050886e-11,5.495520648693927e-10,0.0048139572609215975
monomial_interp2,cpu,float64,4,10,3,4,16,3.3653635433950058e-15,3.804693230199731e-15,2.4487151112971013e-14,0.0282465151976794
monomial_interp2,cpu,float64,4,10,3,5,16,1.762479051592436e-15,1.843166096733278e-15,8.079495027972895e-15,0.04820127529092133
monomial_interp2,cpu,float64,4,10,3,6,16,1.6237011735142914e-15,1.690598301828338e-15,8.43769498715119e-15,0.0736220977269113
monomial_interp2,cpu,float64,4,10,3,7,16,1.4155343563970746e-15,1.484701295633323e-15,7.53644380168212e-15,0.01845714682713151
monomial_interp2,cpu,float64,4,10,3,8,16,1.7555401576885288e-15,1.8184702513354682e-15,9.031103035004427e-15,0.1392923048697412
monomial_interp2,cpu,float64,4,10,3,9,16,1.3877787807814457e-15,1.4401319917857023e-15,7.342595759756799e-15,0.1568363516125828
monomial_interp2,cpu,float64,4,10,3,10,16,2.275957200481571e-15,2.629188292615596e-15,1.0938936811258772e-14,0.18207076261751354
monomial_interp2,cpu,float64,4,10,3,11,16,2.706168622523819e-15,2.9854227602918476e-15,1.252831466062747e-14,0.04093298129737377
monomial_interp2,cpu,float64,4,10,3,12,16,2.366162821232365e-15,2.5272039665726942e-15,1.1591600358539699e-14,0.27610452752560377
monomial_interp2,cpu,float64,4,10,3,13,16,1.8110513089197866e-15,1.974510550078567e-15,9.10991945187109e-15,0.30309777054935694
monomial_interp2,cpu,float64,4,10,3,14,16,1.547373340571312e-15,1.6095829045026935e-15,7.71185559270127e-15,0.33267415477894247
monomial_interp2,cpu,float64,4,10,3,15,16,1.7208456881689926e-15,1.8583452612681645e-15,8.767247826568629e-15,0.07625023694708943
monomial_interp2,cpu,float64,4,10,3,16,16,1.6306400674181987e-15,1.7064468682535879e-15,8.736968497813013e-15,0.0877635704819113
monomial_interp2,cpu,float64,4,10,3,17,16,1.5126788710517758e-15,1.5780078919792474e-15,8.071863501732295e-15,0.09857437014579773
sigkerax,cpu,float64,4,10,3,1,16,2.9329855008877748e-05,3.529591985103427e-05,0.0001767973201766386,0.0009703557007014751
sigkerax,cpu,float64,4,10,3,2,16,8.345542691932939e-06,1.0301535884807192e-05,5.4976493151649986e-05,0.0015421686694025993
sigkerax,cpu,float64,4,10,3,3,16,4.07274464397922e-06,5.045893044072396e-06,2.658305245008092e-05,0.0025236825458705425
sigkerax,cpu,float64,4,10,3,4,16,2.3920585575862297e-06,2.968057345964263e-06,1.5587159717590873e-05,0.0042199918534606695
sigkerax,cpu,float64,4,10,3,5,16,1.5694058028564717e-06,1.948907103940395e-06,1.0223851453188304e-05,0.0055424298625439405
sigkerax,cpu,float64,4,10,3,6,16,1.1075846772998221e-06,1.3761214519223317e-06,7.215847390299468e-06,0.008397942408919334
sigkerax,cpu,float64,4,10,3,7,16,8.229992937772157e-07,1.022900177183765e-06,5.36264084346047e-06,0.010632452787831426
sigkerax,cpu,float64,4,10,3,8,16,6.354134876040973e-07,7.899553740716153e-07,4.141051078083488e-06,0.012548735598102212
sigkerax,cpu,float64,4,10,3,9,16,5.053081982633878e-07,6.283303499915736e-07,3.293681778145409e-06,0.017975927097722888
sigkerax,cpu,float64,4,10,3,10,16,4.114042462047274e-07,5.116438958281498e-07,2.6819988866946406e-06,0.01925040502101183
sigkerax,cpu,float64,4,10,3,11,16,3.4142468181147523e-07,4.2466680967071385e-07,2.226088740551991e-06,0.023346140747889876
sigkerax,cpu,float64,4,10,3,12,16,2.8788560984399636e-07,3.581114210515313e-07,1.8772356140242118e-06,0.030636936193332076
sigkerax,cpu,float64,4,10,3,13,16,2.4601507100929787e-07,3.0605361241166245e-07,1.6043760259018728e-06,0.036205982556566596
sigkerax,cpu,float64,4,10,3,14,16,2.1265388425867338e-07,2.645703189897556e-07,1.3869429448529289e-06,0.036803123308345675
sigkerax,cpu,float64,4,10,3,15,16,1.8564411334576203e-07,2.309811302481532e-07,1.2108851853753335e-06,0.04755192156881094
sigkerax,cpu,float64,4,10,3,16,16,1.6347049975468098e-07,2.0340358989103163e-07,1.0663353845272802e-06,0.048300932394340634
sigkerax,cpu,float64,4,10,3,17,16,1.4504382533225835e-07,1.8048434043846743e-07,9.462008043564873e-07,0.05416285968385637
monomial_approx,cpu,float64,4,50,2,2,21,0.0005258540481504377,0.0015473652438150302,0.002779736196887659,0.024684375850483775
monomial_approx,cpu,float64,4,50,2,3,21,1.613105447141952e-05,4.180379630012177e-05,7.73067413242073e-05,0.04219593037851155
monomial_approx,cpu,float64,4,50,2,4,21,1.1649541868056362e-07,3.7035275517983554e-07,7.273684147918971e-07,0.06059115193784237
monomial_approx,cpu,float64,4,50,2,5,21,1.1497453232534038e-09,3.763195012418e-09,7.019643145361882e-09,0.08364658639766276
monomial_approx,cpu,float64,4,50,2,6,21,7.567148296860893e-12,2.501457794229612e-11,5.2675893116180134e-11,0.14992620213888586
monomial_approx,cpu,float64,4,50,2,7,21,3.715257268499528e-14,1.3837224397657497e-13,2.7565816130896353e-13,0.17045647208578885
monomial_approx,cpu,float64,4,50,2,8,21,1.0694570229397016e-15,2.170088120712989e-15,5.119925768999022e-15,0.19046646705828607
monomial_approx,cpu,float64,4,50,2,9,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.24984824168495834
monomial_approx,cpu,float64,4,50,2,10,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.28303227503784
monomial_approx,cpu,float64,4,50,2,11,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.27232595486566424
monomial_approx,cpu,float64,4,50,2,12,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.3761623913887888
monomial_approx,cpu,float64,4,50,2,13,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.3734299864154309
monomial_approx,cpu,float64,4,50,2,14,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.4373727801721543
monomial_approx,cpu,float64,4,50,2,15,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.40048665227368474
monomial_approx,cpu,float64,4,50,2,16,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.44655720121227205
monomial_approx,cpu,float64,4,50,2,17,21,9.063930161978817e-16,1.4485326063831757e-15,4.689809437268925e-15,0.4243310501333326
monomial_interp,cpu,float64,4,50,2,2,21,2.381248276946829e-08,4.784564280527571e-08,1.2413338197938822e-07,0.29958762088790536
monomial_interp,cpu,float64,4,50,2,3,21,1.3054254361516415e-09,1.8332794308335915e-09,7.1883181144393045e-09,0.20577925839461386
monomial_interp,cpu,float64,4,50,2,4,21,1.006443192674844e-13,1.460084701092313e-13,5.748426497802201e-13,0.6723685283213854
monomial_interp,cpu,float64,4,50,2,5,21,4.8183679268731794e-14,7.510492715142077e-14,2.138147880658304e-13,1.1426721094176173
monomial_interp,cpu,float64,4,50,2,6,21,4.6141042375769104e-14,7.090251319700159e-14,2.0445669839230812e-13,2.023568909848109
monomial_interp,cpu,float64,4,50,2,7,21,4.70240166250413e-14,6.834156366069518e-14,2.1528694170628188e-13,0.7850473262369633
monomial_interp,cpu,float64,4,50,2,8,21,4.637523004502597e-14,7.191289348135855e-14,2.050988663302282e-13,3.573806602973491
monomial_interp,cpu,float64,4,50,2,9,21,4.629369804165506e-14,7.159834786379346e-14,2.059919368856353e-13,3.1715250194538385
monomial_interp,cpu,float64,4,50,2,10,21,5.1601084516406104e-14,5.229483413554603e-14,2.81430168770727e-13,3.6501512967515737
monomial_interp,cpu,float64,4,50,2,11,21,5.088030691213774e-14,5.2895287067769624e-14,2.6737289475462595e-13,2.2722813677974045
monomial_interp,cpu,float64,4,50,2,12,21,4.8900987426048204e-14,5.447631032352543e-14,2.469481028052203e-13,5.47935946425423
monomial_interp,cpu,float64,4,50,2,13,21,4.843174472579648e-14,5.187319400947238e-14,2.4372443413320586e-13,3.950662821996957
monomial_interp,cpu,float64,4,50,2,14,21,4.842480583189257e-14,5.470076734047996e-14,2.466692597297263e-13,4.362030450487509
