analysis,model,device,dtype,batch_size,length,dim,param,time
order,sigkerax,gpu,float32,8,32,8,19,0.7305900658636043
order,monomial_approx,cpu,float32,8,32,8,2,0.772462495486252
order,monomial_approx,cpu,float32,8,32,8,3,0.8634892283395553
order,monomial_approx,cpu,float32,8,32,8,4,0.9229998768229658
order,monomial_approx,cpu,float32,8,32,8,5,0.9562410696332032
order,monomial_approx,cpu,float32,8,32,8,6,1.0341881888452915
order,monomial_approx,cpu,float32,8,32,8,7,1.008890927187167
order,monomial_approx,cpu,float32,8,32,8,8,1.1426453474753846
order,monomial_approx,cpu,float32,8,32,8,9,1.169262262643315
order,monomial_approx,cpu,float32,8,32,8,10,1.2381722224721063
order,monomial_approx,cpu,float32,8,32,8,11,1.3104133054924507
order,monomial_approx,cpu,float32,8,32,8,12,1.3638518781711657
order,monomial_approx,cpu,float32,8,32,8,13,1.3887836971553045
order,monomial_approx,cpu,float32,8,32,8,14,1.4323686933688198
order,monomial_approx,cpu,float32,8,32,8,15,1.370621567320389
order,monomial_approx,cpu,float32,8,32,8,16,1.4857254849824433
order,monomial_approx,cpu,float32,8,32,8,17,1.4035354306688532
order,monomial_approx,cpu,float32,8,32,8,18,1.539311192658109
order,monomial_approx,cpu,float32,8,32,8,19,1.6210724419991795
order,sigkerax,cpu,float32,8,32,8,2,1.4621010414945583
order,sigkerax,cpu,float32,8,32,8,3,1.5528781431882333
order,sigkerax,cpu,float32,8,32,8,4,1.6393177293163417
order,sigkerax,cpu,float32,8,32,8,5,1.7450341326572625
order,sigkerax,cpu,float32,8,32,8,6,1.921984818841641
order,sigkerax,cpu,float32,8,32,8,7,2.1267891166886934
order,sigkerax,cpu,float32,8,32,8,8,2.393740026668335
order,sigkerax,cpu,float32,8,32,8,9,2.5328835523299253
order,sigkerax,cpu,float32,8,32,8,10,2.734367881979173
order,sigkerax,cpu,float32,8,32,8,11,3.0340228423398607
order,sigkerax,cpu,float32,8,32,8,12,3.383690395159647
order,sigkerax,cpu,float32,8,32,8,13,3.647812356512683
order,sigkerax,cpu,float32,8,32,8,14,3.728747337319267
order,sigkerax,cpu,float32,8,32,8,15,4.157978708351341
order,sigkerax,cpu,float32,8,32,8,16,4.4780809885123745
order,sigkerax,cpu,float32,8,32,8,17,4.394093478641783
order,sigkerax,cpu,float32,8,32,8,18,4.885580934506531
order,sigkerax,cpu,float32,8,32,8,19,5.112277967506088
dim,monomial_approx,cpu,float32,8,32,50,2,0.7695768841852745
dim,monomial_approx,cpu,float32,8,32,50,3,0.8675712393596768
dim,monomial_approx,cpu,float32,8,32,50,4,0.917153450039526
dim,monomial_approx,cpu,float32,8,32,50,5,0.9502176235740384
dim,sigkerax,cpu,float32,8,32,50,1,1.544412735849619
dim,sigkerax,cpu,float32,8,32,50,2,1.6576862384875617
dim,sigkerax,cpu,float32,8,32,50,3,1.7978759547695518
dim,sigkerax,cpu,float32,8,32,50,4,1.8920755522946515
dim,monomial_approx,cpu,float32,8,32,100,2,0.7814999064430594
dim,monomial_approx,cpu,float32,8,32,100,3,0.8848753071700534
dim,monomial_approx,cpu,float32,8,32,100,4,0.9361423399920265
dim,monomial_approx,cpu,float32,8,32,100,5,0.9658174257104596
dim,sigkerax,cpu,float32,8,32,100,1,1.606710317544639
dim,sigkerax,cpu,float32,8,32,100,2,1.7859307173639536
dim,sigkerax,cpu,float32,8,32,100,3,1.8710472555831077
dim,sigkerax,cpu,float32,8,32,100,4,2.017506318166852
dim,monomial_approx,cpu,float32,8,32,150,2,0.8236536091814438
dim,monomial_approx,cpu,float32,8,32,150,3,0.9220126994575064
dim,monomial_approx,cpu,float32,8,32,150,4,0.9682187885046004
dim,monomial_approx,cpu,float32,8,32,150,5,1.0013165045529604
dim,sigkerax,cpu,float32,8,32,150,1,1.6417315900325775
dim,sigkerax,cpu,float32,8,32,150,2,1.8022533087059855
dim,sigkerax,cpu,float32,8,32,150,3,1.9219619656602545
dim,sigkerax,cpu,float32,8,32,150,4,2.09854678530246
dim,monomial_approx,cpu,float32,8,32,200,2,0.8264031584064165
dim,monomial_approx,cpu,float32,8,32,200,3,0.919507997110486
dim,monomial_approx,cpu,float32,8,32,200,4,0.984623804067572
dim,monomial_approx,cpu,float32,8,32,200,5,0.999905644915998
dim,sigkerax,cpu,float32,8,32,200,1,1.638741925979654
dim,sigkerax,cpu,float32,8,32,200,2,1.8161062787597375
dim,sigkerax,cpu,float32,8,32,200,3,1.9649041468898456
dim,sigkerax,cpu,float32,8,32,200,4,2.09788237263759
dim,monomial_approx,cpu,float32,8,32,250,2,0.8299412910516063
dim,monomial_approx,cpu,float32,8,32,250,3,0.932584415189922
dim,monomial_approx,cpu,float32,8,32,250,4,0.9823579856504996
dim,monomial_approx,cpu,float32,8,32,250,5,1.0068386861433585
dim,sigkerax,cpu,float32,8,32,250,1,1.6681659137830138
dim,sigkerax,cpu,float32,8,32,250,2,1.8475679935266571
dim,sigkerax,cpu,float32,8,32,250,3,2.0084547298029065
dim,sigkerax,cpu,float32,8,32,250,4,2.141118905817469
dim,monomial_approx,cpu,float32,8,32,300,2,0.8337409337982535
dim,monomial_approx,cpu,float32,8,32,300,3,0.9355795870845516
dim,monomial_approx,cpu,float32,8,32,300,4,0.9845291801417868
